dataset,dt_mode,lr,eff_bs,phys_bs,accum,seed,exit_code,wall_sec,output_dir
imm_clustertrace,replace,5e-4,64,16,4,2,0,28,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_clustertrace/replace_lr-5e-4_bs-16_accum-4/seed2
imm_clustertrace,replace,5e-4,64,16,4,3,0,35,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_clustertrace/replace_lr-5e-4_bs-16_accum-4/seed3
imm_clustertrace,learned,2e-3,128,32,4,1,0,33,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_clustertrace/learned_lr-2e-3_bs-32_accum-4/seed1
imm_clustertrace,learned,2e-3,128,32,4,2,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_clustertrace/learned_lr-2e-3_bs-32_accum-4/seed2
imm_clustertrace,learned,2e-3,128,32,4,3,0,35,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_clustertrace/learned_lr-2e-3_bs-32_accum-4/seed3
imm_clustertrace,concat,2e-3,128,32,4,1,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_clustertrace/concat_lr-2e-3_bs-32_accum-4/seed1
imm_clustertrace,concat,2e-3,128,32,4,2,0,30,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_clustertrace/concat_lr-2e-3_bs-32_accum-4/seed2
imm_clustertrace,concat,2e-3,128,32,4,3,0,28,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_clustertrace/concat_lr-2e-3_bs-32_accum-4/seed3
imm_studentlife,replace,2e-3,128,32,4,1,0,46,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/replace_lr-2e-3_bs-32_accum-4/seed1
imm_studentlife,replace,2e-3,128,32,4,2,0,42,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/replace_lr-2e-3_bs-32_accum-4/seed2
imm_studentlife,replace,2e-3,128,32,4,3,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/replace_lr-2e-3_bs-32_accum-4/seed3
imm_studentlife,learned,2e-3,256,32,8,1,0,50,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/learned_lr-2e-3_bs-32_accum-8/seed1
imm_studentlife,learned,2e-3,256,32,8,2,0,58,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/learned_lr-2e-3_bs-32_accum-8/seed2
imm_studentlife,learned,2e-3,256,32,8,3,0,51,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/learned_lr-2e-3_bs-32_accum-8/seed3
imm_studentlife,concat,2e-3,128,32,4,1,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/concat_lr-2e-3_bs-32_accum-4/seed1
imm_studentlife,concat,2e-3,128,32,4,2,0,30,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/concat_lr-2e-3_bs-32_accum-4/seed2
imm_studentlife,concat,2e-3,128,32,4,3,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_studentlife/concat_lr-2e-3_bs-32_accum-4/seed3
imm_ilinet,replace,5e-4,16,16,1,1,0,33,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/replace_lr-5e-4_bs-16_accum-1/seed1
imm_ilinet,replace,5e-4,16,16,1,2,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/replace_lr-5e-4_bs-16_accum-1/seed2
imm_ilinet,replace,5e-4,16,16,1,3,0,19,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/replace_lr-5e-4_bs-16_accum-1/seed3
imm_ilinet,learned,2e-3,8,8,1,1,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/learned_lr-2e-3_bs-8_accum-1/seed1
imm_ilinet,learned,2e-3,8,8,1,2,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/learned_lr-2e-3_bs-8_accum-1/seed2
imm_ilinet,learned,2e-3,8,8,1,3,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/learned_lr-2e-3_bs-8_accum-1/seed3
imm_ilinet,concat,2e-3,32,32,1,1,0,26,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/concat_lr-2e-3_bs-32_accum-1/seed1
imm_ilinet,concat,2e-3,32,32,1,2,0,14,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/concat_lr-2e-3_bs-32_accum-1/seed2
imm_ilinet,concat,2e-3,32,32,1,3,0,20,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_ilinet/concat_lr-2e-3_bs-32_accum-1/seed3
imm_cesnet,replace,2e-3,16,16,1,1,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/replace_lr-2e-3_bs-16_accum-1/seed1
imm_cesnet,replace,2e-3,16,16,1,2,0,32,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/replace_lr-2e-3_bs-16_accum-1/seed2
imm_cesnet,replace,2e-3,16,16,1,3,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/replace_lr-2e-3_bs-16_accum-1/seed3
imm_cesnet,learned,2e-3,16,16,1,1,0,19,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/learned_lr-2e-3_bs-16_accum-1/seed1
imm_cesnet,learned,2e-3,16,16,1,2,0,35,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/learned_lr-2e-3_bs-16_accum-1/seed2
imm_cesnet,learned,2e-3,16,16,1,3,0,22,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/learned_lr-2e-3_bs-16_accum-1/seed3
imm_cesnet,concat,5e-4,8,8,1,1,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/concat_lr-5e-4_bs-8_accum-1/seed1
imm_cesnet,concat,5e-4,8,8,1,2,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/concat_lr-5e-4_bs-8_accum-1/seed2
imm_cesnet,concat,5e-4,8,8,1,3,0,35,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_cesnet/concat_lr-5e-4_bs-8_accum-1/seed3
imm_epa_air,replace,1e-4,64,16,4,1,0,18,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/replace_lr-1e-4_bs-16_accum-4/seed1
imm_epa_air,replace,1e-4,64,16,4,2,0,18,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/replace_lr-1e-4_bs-16_accum-4/seed2
imm_epa_air,replace,1e-4,64,16,4,3,0,13,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/replace_lr-1e-4_bs-16_accum-4/seed3
imm_epa_air,learned,1e-4,128,32,4,1,0,20,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/learned_lr-1e-4_bs-32_accum-4/seed1
imm_epa_air,learned,1e-4,128,32,4,2,0,22,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/learned_lr-1e-4_bs-32_accum-4/seed2
imm_epa_air,learned,1e-4,128,32,4,3,0,13,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/learned_lr-1e-4_bs-32_accum-4/seed3
imm_epa_air,concat,2e-3,32,32,1,1,0,19,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/concat_lr-2e-3_bs-32_accum-1/seed1
imm_epa_air,concat,2e-3,32,32,1,2,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/concat_lr-2e-3_bs-32_accum-1/seed2
imm_epa_air,concat,2e-3,32,32,1,3,0,13,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_epa_air/concat_lr-2e-3_bs-32_accum-1/seed3
