dataset,dt_mode,lr,eff_bs,phys_bs,accum,seed,exit_code,wall_sec,output_dir
imm_studentlife,concat,1e-4,128,32,4,1,0,210,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/concat_lr-1e-4_bs-32_accum-4/seed1
imm_studentlife,concat,1e-4,128,32,4,2,0,102,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/concat_lr-1e-4_bs-32_accum-4/seed2
imm_studentlife,concat,1e-4,128,32,4,3,0,151,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/concat_lr-1e-4_bs-32_accum-4/seed3
imm_ilinet,replace,1e-4,8,8,1,1,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/replace_lr-1e-4_bs-8_accum-1/seed1
imm_ilinet,replace,1e-4,8,8,1,2,0,43,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/replace_lr-1e-4_bs-8_accum-1/seed2
imm_ilinet,replace,1e-4,8,8,1,3,0,43,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/replace_lr-1e-4_bs-8_accum-1/seed3
imm_ilinet,learned,1e-4,8,8,1,1,0,53,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/learned_lr-1e-4_bs-8_accum-1/seed1
imm_ilinet,learned,1e-4,8,8,1,2,0,43,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/learned_lr-1e-4_bs-8_accum-1/seed2
imm_ilinet,learned,1e-4,8,8,1,3,0,43,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/learned_lr-1e-4_bs-8_accum-1/seed3
imm_ilinet,concat,5e-4,8,8,1,1,0,27,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/concat_lr-5e-4_bs-8_accum-1/seed1
imm_ilinet,concat,5e-4,8,8,1,2,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/concat_lr-5e-4_bs-8_accum-1/seed2
imm_ilinet,concat,5e-4,8,8,1,3,0,32,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_ilinet/concat_lr-5e-4_bs-8_accum-1/seed3
imm_cesnet,replace,2e-3,16,16,1,1,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/replace_lr-2e-3_bs-16_accum-1/seed1
imm_cesnet,replace,2e-3,16,16,1,2,0,18,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/replace_lr-2e-3_bs-16_accum-1/seed2
imm_cesnet,replace,2e-3,16,16,1,3,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/replace_lr-2e-3_bs-16_accum-1/seed3
imm_cesnet,learned,5e-4,8,8,1,1,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/learned_lr-5e-4_bs-8_accum-1/seed1
imm_cesnet,learned,5e-4,8,8,1,2,0,39,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/learned_lr-5e-4_bs-8_accum-1/seed2
imm_cesnet,learned,5e-4,8,8,1,3,0,15,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/learned_lr-5e-4_bs-8_accum-1/seed3
imm_cesnet,concat,1e-4,8,8,1,1,0,54,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/concat_lr-1e-4_bs-8_accum-1/seed1
imm_cesnet,concat,1e-4,8,8,1,2,0,21,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/concat_lr-1e-4_bs-8_accum-1/seed2
imm_cesnet,concat,1e-4,8,8,1,3,0,18,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/concat_lr-1e-4_bs-8_accum-1/seed3
imm_epa_air,replace,5e-4,32,32,1,1,0,28,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/replace_lr-5e-4_bs-32_accum-1/seed1
imm_epa_air,replace,5e-4,32,32,1,2,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/replace_lr-5e-4_bs-32_accum-1/seed2
imm_epa_air,replace,5e-4,32,32,1,3,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/replace_lr-5e-4_bs-32_accum-1/seed3
imm_epa_air,learned,5e-4,32,32,1,1,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/learned_lr-5e-4_bs-32_accum-1/seed1
imm_epa_air,learned,5e-4,32,32,1,2,0,26,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/learned_lr-5e-4_bs-32_accum-1/seed2
imm_epa_air,learned,5e-4,32,32,1,3,0,33,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/learned_lr-5e-4_bs-32_accum-1/seed3
imm_epa_air,concat,5e-4,32,32,1,1,0,45,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/concat_lr-5e-4_bs-32_accum-1/seed1
imm_epa_air,concat,5e-4,32,32,1,2,0,29,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/concat_lr-5e-4_bs-32_accum-1/seed2
imm_epa_air,concat,5e-4,32,32,1,3,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/concat_lr-5e-4_bs-32_accum-1/seed3
