dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_clustertrace,learned,2e-3,64,16,4,8,0,69,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-64/seed1
imm_clustertrace,learned,2e-3,128,32,4,9,0,68,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-128/seed1
imm_studentlife,learned,1e-4,64,16,4,1,0,162,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-64/seed1
imm_studentlife,learned,1e-4,128,32,4,2,0,116,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-128/seed1
imm_studentlife,learned,1e-4,256,32,8,3,0,170,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-256/seed1
imm_studentlife,learned,5e-4,64,16,4,4,0,94,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-64/seed1
imm_studentlife,learned,5e-4,128,32,4,5,0,127,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-128/seed1
imm_studentlife,learned,5e-4,256,32,8,6,0,127,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-256/seed1
imm_studentlife,learned,2e-3,64,16,4,7,0,142,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-64/seed1
imm_studentlife,learned,2e-3,128,32,4,8,0,78,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-128/seed1
imm_studentlife,learned,2e-3,256,32,8,9,0,155,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-256/seed1
imm_ilinet,learned,1e-4,8,8,1,1,0,45,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-8/seed1
imm_ilinet,learned,1e-4,16,16,1,2,0,50,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-16/seed1
imm_ilinet,learned,1e-4,32,32,1,3,0,49,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-32/seed1
imm_ilinet,learned,5e-4,8,8,1,4,0,39,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-8/seed1
imm_ilinet,learned,5e-4,16,16,1,5,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-16/seed1
