dataset,dt_mode,lr,train_batch_size,seed,min_val_mse,cell_dir
activity,concat,2e-3,128,1,0.0029149027541279793,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-2e-3_bs-128/seed1
activity,concat,5e-4,128,1,0.002928955713286996,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-5e-4_bs-128/seed1
activity,concat,2e-3,256,1,0.002943767234683037,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-2e-3_bs-256/seed1
activity,concat,2e-3,64,1,0.0029518804512917995,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-2e-3_bs-64/seed1
activity,concat,5e-4,64,1,0.002960954327136278,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-5e-4_bs-64/seed1
activity,concat,1e-4,64,1,0.0031150265131145716,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-1e-4_bs-64/seed1
activity,concat,5e-4,256,1,0.00380388624034822,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-5e-4_bs-256/seed1
activity,concat,1e-4,128,1,0.006003343965858221,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-1e-4_bs-128/seed1
activity,concat,1e-4,256,1,0.01523949671536684,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/activity/dt-concat_lr-1e-4_bs-256/seed1
ushcn,concat,1e-4,128,1,0.664904773235321,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-1e-4_bs-128/seed1
ushcn,concat,5e-4,128,1,0.6666415333747864,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-5e-4_bs-128/seed1
ushcn,concat,1e-4,64,1,0.6708301901817322,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-1e-4_bs-64/seed1
ushcn,concat,5e-4,256,1,0.6719297766685486,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-5e-4_bs-256/seed1
ushcn,concat,1e-4,256,1,0.6724465489387512,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-1e-4_bs-256/seed1
ushcn,concat,5e-4,64,1,0.6896377801895142,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-5e-4_bs-64/seed1
ushcn,concat,2e-3,256,1,0.6928355097770691,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-2e-3_bs-256/seed1
ushcn,concat,2e-3,64,1,0.6941503286361694,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-2e-3_bs-64/seed1
ushcn,concat,2e-3,128,1,0.6981589794158936,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_d64/ushcn/dt-concat_lr-2e-3_bs-128/seed1
