dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_fnspid,replace,1e-4,128,32,4,2,0,21,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-1e-4_ebs-128/seed1
imm_fnspid,replace,1e-4,256,32,8,3,0,21,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-1e-4_ebs-256/seed1
imm_fnspid,replace,5e-4,64,16,4,4,0,172,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-5e-4_ebs-64/seed1
imm_fnspid,replace,5e-4,128,32,4,5,0,77,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-5e-4_ebs-128/seed1
imm_fnspid,replace,5e-4,256,32,8,6,0,20,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-5e-4_ebs-256/seed1
imm_fnspid,replace,2e-3,64,16,4,7,0,72,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-2e-3_ebs-64/seed1
imm_fnspid,replace,2e-3,128,32,4,8,0,53,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-2e-3_ebs-128/seed1
imm_fnspid,replace,2e-3,256,32,8,9,0,85,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-2e-3_ebs-256/seed1
imm_fnspid,learned,1e-4,64,16,4,10,0,152,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-1e-4_ebs-64/seed1
imm_fnspid,learned,1e-4,128,32,4,11,0,21,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-1e-4_ebs-128/seed1
imm_fnspid,learned,1e-4,256,32,8,12,0,20,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-1e-4_ebs-256/seed1
imm_fnspid,learned,5e-4,64,16,4,13,0,81,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-5e-4_ebs-64/seed1
imm_fnspid,learned,5e-4,128,32,4,14,0,75,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-5e-4_ebs-128/seed1
