dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_repohealth,replace,2e-3,128,32,4,8,0,50,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-128/seed1
imm_repohealth,replace,2e-3,256,32,8,9,0,45,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-256/seed1
imm_repohealth,learned,1e-4,64,16,4,10,0,136,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-64/seed1
imm_repohealth,learned,1e-4,128,32,4,11,0,155,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-128/seed1
imm_repohealth,learned,1e-4,256,32,8,12,0,247,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-256/seed1
imm_repohealth,learned,5e-4,64,16,4,13,0,67,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-64/seed1
imm_repohealth,learned,5e-4,128,32,4,14,0,80,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-128/seed1
imm_repohealth,learned,5e-4,256,32,8,15,0,59,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-256/seed1
imm_repohealth,learned,2e-3,64,16,4,16,0,57,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-64/seed1
imm_repohealth,learned,2e-3,128,32,4,17,0,61,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-128/seed1
imm_repohealth,learned,2e-3,256,32,8,18,0,102,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-256/seed1
imm_repohealth,concat,1e-4,64,16,4,19,0,140,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-64/seed1
imm_repohealth,concat,1e-4,128,32,4,20,0,151,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-128/seed1
imm_repohealth,concat,1e-4,256,32,8,21,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-256/seed1
imm_repohealth,concat,5e-4,64,16,4,22,0,54,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-64/seed1
imm_repohealth,concat,5e-4,128,32,4,23,0,90,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-128/seed1
imm_repohealth,concat,5e-4,256,32,8,24,0,125,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-256/seed1
imm_repohealth,concat,2e-3,64,16,4,25,0,47,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-64/seed1
imm_repohealth,concat,2e-3,128,32,4,26,0,60,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-128/seed1
imm_repohealth,concat,2e-3,256,32,8,27,0,45,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-256/seed1
imm_fnspid,replace,1e-4,64,16,4,1,0,138,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-64/seed1
imm_fnspid,replace,1e-4,128,32,4,2,0,228,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-128/seed1
imm_fnspid,replace,1e-4,256,32,8,3,0,126,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-256/seed1
imm_fnspid,replace,5e-4,64,16,4,4,0,183,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-64/seed1
imm_fnspid,replace,5e-4,128,32,4,5,0,117,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-128/seed1
imm_fnspid,replace,5e-4,256,32,8,6,0,200,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-256/seed1
imm_fnspid,replace,2e-3,64,16,4,7,0,77,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-64/seed1
imm_fnspid,replace,2e-3,128,32,4,8,0,69,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-128/seed1
imm_fnspid,replace,2e-3,256,32,8,9,0,107,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-256/seed1
